,nom,régime_alimentaire,période,habitat,type,bipède,longueur (m),poids (kg),nommé_par,espèce,sous-ordre_taxonomique,famille_taxonomique
0,Tyrannosaurus,carnivore,Crétacé supérieur,États-Unis,grand théropode,Oui,12.0,7000,Osborn (1905),rex,Saurischia,Tyrannosaurinae
1,Allosaurus,carnivore,Jurassique supérieur,États-Unis,grand théropode,Oui,12.0,2000,Marsh (1877),fragilis,Saurischia,Allosauridae
2,Velociraptor,carnivore,Crétacé supérieur,Mongolie,petit théropode,Oui,1.8,7,Osborn (1924),mongoliensis,Saurischia,Dromaeosauridae
3,Spinosaurus,carnivore,Crétacé supérieur,Maroc,grand théropode,Oui,18.0,7400,Stromer (1915),aegyptiacus,Saurischia,Spinosaurinae
4,Carnotaurus,carnivore,Crétacé supérieur,Argentine,grand théropode,Oui,7.6,1600,Bonaparte (1985),sastrei,Saurischia,Abelisauridae
5,Giganotosaurus,carnivore,Crétacé inférieur,Argentine,grand théropode,Oui,12.5,8000,Coria and Salgado (1995),carolinii,Saurischia,Carcharodontosauridae
6,Ceratosaurus,carnivore,Jurassique supérieur,États-Unis,grand théropode,Oui,6.0,970,Marsh (1884),nasicornis,Saurischia,Neoceratosauria
7,Megalosaurus,carnivore,Jurassique moyen,Royaume-Uni,grand théropode,Oui,9.0,700,Ritgen (1826),bucklandii,Saurischia,Megalosaurinae
8,Compsognathus,carnivore,Jurassique supérieur,Allemagne,petit théropode,Oui,0.65,3,Wagner (1859),longipes,Saurischia,Compsognathidae
10,Baryonyx,carnivore,Crétacé inférieur,Royaume-Uni,grand théropode,Oui,10.0,2000,Charig and Milner (1987),walkeri,Saurischia,Baryonychinae
11,Utahraptor,carnivore,Crétacé inférieur,États-Unis,grand théropode,Oui,6.0,350,Kirkland Gaston and Burge (1993),ostrommaysorum,Saurischia,Dromaeosauridae
12,Deinonychus,carnivore,Crétacé inférieur,États-Unis,petit théropode,Oui,3.0,65,Ostrom (1969),antirrhopus,Saurischia,Dromaeosauridae
13,Mapusaurus,carnivore,Crétacé supérieur,Argentine,grand théropode,Oui,13.0,3000,Coria and Currie (2006),roseae,Saurischia,Giganotosaurinae
14,Albertosaurus,carnivore,Crétacé supérieur,Canada,grand théropode,Oui,9.0,1500,Lamb (1914),libratus,Saurischia,Albertosaurinae
15,Dromaeosaurus,carnivore,Crétacé supérieur,États-Unis,petit théropode,Oui,1.8,15,Matthew and Brown (1922),albertensis,Saurischia,Dromaeosauridae
16,Acrocanthosaurus,carnivore,Crétacé inférieur,États-Unis,grand théropode,Oui,12.0,6600,Stovall and Langston (1950),atokensis,Saurischia,Carcharodontosauridae
17,Tarbosaurus,carnivore,Crétacé supérieur,Mongolie,grand théropode,Oui,10.0,5000,Maleev (1955),bataar,Saurischia,Tyrannosaurinae
18,Herrerasaurus,carnivore,Trias supérieur,Argentine,petit théropode,Oui,3.0,350,Reig (1963),ischigualastensis,Saurischia,Herrerasauridae
19,Carcharodontosaurus,carnivore,Crétacé supérieur,Afrique du Nord,grand théropode,Oui,15.0,6200,Stromer (1931),saharicus,Saurischia,Carcharodontosauridae
20,Triceratops,herbivore,Crétacé supérieur,États-Unis,cératopsien,Non,9.0,5500,Marsh (1889),horridus,Ornithischia,Chasmosaurinae
21,Brachiosaurus,herbivore,Jurassique supérieur,États-Unis,sauropode,Non,30.0,50000,Riggs (1903),altithorax,Saurischia,Brachiosauridae
22,Stegosaurus,herbivore,Jurassique supérieur,États-Unis,dinosaure cuirassé,Non,9.0,3000,Marsh (1877),armatus,Ornithischia,Stegosaurinae
23,Ankylosaurus,herbivore,Crétacé supérieur,États-Unis,dinosaure cuirassé,Non,7.0,8000,Brown (1908),magniventris,Ornithischia,Ankylosauridae
24,Diplodocus,herbivore,Jurassique supérieur,États-Unis,sauropode,Non,26.0,15000,Marsh (1878),longus,Saurischia,Diplodocidae
25,Apatosaurus,herbivore,Jurassique supérieur,États-Unis,sauropode,Non,21.0,218000,Marsh (1877),ajax,Saurischia,Diplodocidae
